method,50IntCov,90IntCov,AVGNLL,AvgCent50W,AvgCent90W,CRPS,MAPE,RMSE,predict_time,train_time
<<<<<<< HEAD
bnn,0.26232987467996227,0.5499932623635628,4.43014161341216,1.4399353529693892,3.5115179841039894,2.991311195960407,6.546889464901167,5.008700780703791,10.634457579,280.32974606475
concrete,0.4697143242150654,0.8143107397924808,2.1251198124047317,0.8249022907050115,2.0116592199544416,0.9665442598924192,2.331481289867828,1.7530783158315182,22.0649172,20.541054423683327
deep_ens,0.42790729012262496,0.7488882899878723,2.3151854575945787,0.7690566066563388,1.8754703810130917,1.0455328214446076,2.4794037783377445,1.8672004549313388,2.0424549,59.09139343243335
dgp,0.6165274221802991,0.8967457216008624,2.351596469894925,0.9946489850429006,2.425614310841339,1.2540321142960131,3.0716336947345537,2.565871262095021,1.5813535,173.72170111918334
fnp,0.2726384584287832,0.5812895836140682,3.6722450178890496,0.9070783349000155,2.212058950718893,1.8086561558473144,4.08963446063832,3.2578393014693887,158.9954331,131.52329005533332
quantile_reg,0.4488950276243094,0.6976485648834388,2.87568252975498,0.6222513637738384,1.5174617735574951,1.1312512755714152,2.6209712317896936,2.1104955436456216,0.0410087,0.28431008745
simple_nn_aleo,0.5111507883034632,0.8187238916588061,2.85254886948842,0.7484772772808181,1.8252843188027859,1.0134842132734376,2.3886137500181124,1.7977463506844629,1.0032231,64.53464541288335
=======
bnn,0.2624983155908907,0.5501280150923056,4.428164663586034,1.439908697528487,3.5114529804495485,2.9909498297070867,6.5460774677953735,5.0079887731867645,17.1098123,280.32974606475
concrete,0.4697143242150654,0.8143107397924808,2.125119812404732,0.8249022907050115,2.0116592199544416,0.9665442598924192,2.331481289867828,1.7530783158315182,22.0649172,20.541054423683327
deep_ens,0.42790729012262496,0.7488882899878723,2.3151854575945787,0.7690566066563388,1.875470381013092,1.0455328214446076,2.4794037783377445,1.8672004549313388,2.0164497,59.09139343243335
dgp,0.6165274221802991,0.8965772806899339,2.3516456689427674,0.9946446471875181,2.4256037322711577,1.2540487714366957,3.071624544500953,2.565884086741214,1.4193173,173.72170111918334
fnp,0.2726384584287832,0.5812895836140682,3.6722450178890496,0.9070783349000155,2.2120589507188932,1.8086561558473144,4.08963446063832,3.2578393014693887,158.9954331,131.52329005533332
quantile_reg,0.4488950276243094,0.6976485648834388,2.8756825297549797,0.6222513637738384,1.517461773557495,1.1312512755714152,2.6209712317896936,2.1104955436456216,0.0420089,0.28431008745
simple_nn_aleo,0.5111507883034632,0.8187238916588061,2.8525488694884196,0.7484772772808181,1.825284318802786,1.0134842132734376,2.3886137500181124,1.7977463506844629,0.6921547,64.53464541288335
>>>>>>> fa0b81b55d517e3ca20d8c58b17b2f2e213a9078
